file,commit_count
montage/providers/fast_scene_ranker.py,1
montage/providers/gemma_scene_ranker.py,1
montage/providers/smart_track.py,1
montage/providers/video_processor.py,1
montage/tests/__init__.py,1
montage/utils/__init__.py,1
montage/utils/async_utils.py,1
montage/utils/ffmpeg_memory_manager.py,1
montage/utils/ffmpeg_utils.py,1
montage/utils/logging_config.py,1
montage/utils/memory_init.py,1
montage/utils/memory_manager.py,1
montage/utils/resource_manager.py,1
montage/utils/secure_logging.py,1
montage/utils/video_effects.py,1
montage/vision/__init__.py,1
montage/vision/tracker.py,1
scripts/billing_check.py,1
scripts/create_admin_user.py,1
scripts/no_unchecked_subprocess.py,1
scripts/stubs_report.py,1
scripts/vault-smoke-test.py,1
tests/cli/test_run_pipeline_import.py,1
tests/core/test_rover.py,1
tests/test_authentication.py,1
tests/test_cli_plan_only.py,1
tests/test_coverage_demo.py,1
tests/test_database_operations.py,1
tests/test_director_pipeline.py,1
tests/test_error_handling.py,1
tests/test_exceptions.py,1
tests/test_face_detection_integration.py,1
tests/test_ffmpeg_security.py,1
tests/test_generate_plan.py,1
tests/test_memory_coverage_fix.py,1
tests/test_memory_final.py,1
tests/test_memory_limits.py,1
tests/test_memory_manager.py,1
tests/test_memory_manager_complete.py,1
tests/test_phase1_complete.py,1
tests/test_phase1_coverage.py,1
tests/test_phase1_final.py,1
tests/test_phase1_success.py,1
tests/test_phase2_minimal.py,1
tests/test_pipeline_coverage_fix.py,1
tests/test_pipeline_critical.py,1
tests/test_plan_schema.py,1
tests/test_rover_algorithm.py,1
tests/test_secure_logging.py,1
tests/test_security.py,1
tests/test_security_fixes.py,1
tests/test_smart_crop.py,1
tests/test_upload_security.py,1
tests/test_video_effects.py,1
tests/test_visual_tracker.py,1
tests/unit_isolated/conftest.py,1
montage/providers/resolve_mcp.py,1
backup_removed_fake_components/analyze_test_video.py,1
backup_removed_fake_components/create_full_story_video.py,1
backup_removed_fake_components/create_perfect_video.py,1
backup_removed_fake_components/emotion_analyzer.py,1
backup_removed_fake_components/highlight_selector_original.py,1
backup_removed_fake_components/narrative_detector.py,1
backup_removed_fake_components/speaker_analysis.py,1
create_intelligent_story.py,1
create_professional_story_video.py,1
create_professional_video.py,1
create_real_working_pipeline.py,1
create_smart_story.py,1
create_speech_test.py,1
debug_audio_issue.py,1
intelligent_story_creation.py,1
src/api/__init__.py,1
src/api/celery_app.py,1
src/api/web_server.py,1
src/cli/rate_limit_cli.py,1
src/core/analyze_video_v2.py,1
src/core/api_wrappers.py,1
src/core/cost.py,1
src/core/exceptions.py,1
src/core/performance.py,1
src/core/quality_validator.py,1
src/core/rate_limit_config.py,1
src/core/rate_limit_monitor.py,1
src/core/rate_limiter.py,1
src/providers/video_processor_v2.py,1
src/utils/error_handler.py,1
src/utils/ffmpeg_memory_manager.py,1
src/utils/intelligent_crop.py,1
src/utils/logging_config.py,1
src/utils/memory_init.py,1
src/utils/memory_manager.py,1
src/utils/resource_manager.py,1
src/utils/video_effects.py,1
test_fast_pipeline.py,1
test_pipeline.py,1
test_simple_pipeline.py,1
tests/test_base.py,1
use_existing_pipeline.py,1
scripts/coverage_imports.py,1
tests/data/create_test_videos.py,1
tests/test_postgres_fixture.py,1
src/cli/__init__.py,1
src/core/__init__.py,1
src/providers/__init__.py,1
src/utils/__init__.py,1
src/budget_decorator.py,1
audio_normalizer.py,1
budget_guard.py,1
checkpoint.py,1
cleanup_manager.py,1
concat_editor.py,1
db_secure.py,1
metrics.py,1
monitoring_integration.py,1
retry_utils.py,1
smart_crop.py,1
smart_track.py,1
smart_video_editor.py,1
speaker_diarizer.py,1
transcript_analyzer.py,1
user_success_metrics.py,1
video_probe.py,1
video_processor.py,1
video_validator.py,1
